date,usd_krw
2017-08-01,1120.3699951171875
2017-08-02,1122.0999755859375
2017-08-03,1127.25
2017-08-06,1127.199951171875
2017-08-07,1125.3499755859375
2017-08-08,1126.0699462890625
2017-08-09,1138.22998046875
2017-08-10,1143.52001953125
2017-08-13,1141.4599609375
2017-08-14,1138.9200439453125
2017-08-15,1135.1800537109375
2017-08-16,1134.800048828125
2017-08-17,1140.47998046875
2017-08-20,1139.06005859375
2017-08-21,1137.9300537109375
2017-08-22,1131.1600341796875
2017-08-23,1125.449951171875
2017-08-24,1127.280029296875
2017-08-27,1120.800048828125
2017-08-28,1118.010009765625
2017-08-29,1124.1400146484375
2017-08-30,1123.3299560546875
2017-08-31,1123.5400390625
2017-09-03,1118.949951171875
2017-09-04,1132.1300048828125
2017-09-05,1131.6500244140625
2017-09-06,1131.52001953125
2017-09-07,1127.030029296875
2017-09-10,1132.8699951171875
2017-09-11,1129.4300537109375
2017-09-12,1127.5999755859375
2017-09-13,1130.1300048828125
2017-09-14,1133.1800537109375
2017-09-17,1133.300048828125
2017-09-18,1128.8199462890625
2017-09-19,1130.3599853515625
2017-09-20,1131.1800537109375
2017-09-21,1130.3499755859375
2017-09-24,1132.1099853515625
2017-09-25,1133.8199462890625
2017-09-26,1136.719970703125
2017-09-27,1145.280029296875
2017-09-28,1145.93994140625
2017-10-01,1144.6600341796875
2017-10-02,1142.300048828125
2017-10-03,1141.969970703125
2017-10-04,1142.300048828125
2017-10-05,1141.97998046875
2017-10-08,1143.699951171875
2017-10-09,1142.8199462890625
2017-10-10,1133.8599853515625
2017-10-11,1131.489990234375
2017-10-12,1132.06005859375
2017-10-15,1126.300048828125
2017-10-16,1127.0799560546875
2017-10-17,1129.93994140625
2017-10-18,1131.4000244140625
2017-10-19,1127.8900146484375
2017-10-22,1133.760009765625
2017-10-23,1129.02001953125
2017-10-24,1129.72998046875
2017-10-25,1126.469970703125
2017-10-26,1128.489990234375
2017-10-30,1125.4599609375
2017-10-31,1123.449951171875
2017-11-01,1117.72998046875
2017-11-02,1109.949951171875
2017-11-03,1111.7099609375
2017-11-06,1114.800048828125
2017-11-07,1113.75
2017-11-08,1112.52001953125
2017-11-09,1113.1099853515625
2017-11-10,1116.8499755859375
2017-11-13,1118.31005859375
2017-11-14,1119.4599609375
2017-11-15,1115.77001953125
2017-11-17,1096.3900146484375
2017-11-20,1092.56005859375
2017-11-21,1096.0
2017-11-22,1091.260009765625
2017-11-23,1085.31005859375
2017-11-24,1082.5899658203125
2017-11-27,1084.949951171875
2017-11-28,1090.06005859375
2017-11-29,1083.449951171875
2017-11-30,1080.6600341796875
2017-12-01,1087.22998046875
2017-12-04,1082.510009765625
2017-12-05,1085.22998046875
2017-12-06,1085.22998046875
2017-12-07,1092.5699462890625
2017-12-08,1092.43994140625
2017-12-11,1091.8199462890625
2017-12-12,1087.8299560546875
2017-12-13,1091.260009765625
2017-12-14,1084.1800537109375
2017-12-15,1087.8199462890625
2017-12-18,1089.030029296875
2017-12-19,1085.3800048828125
2017-12-20,1084.199951171875
2017-12-21,1079.9599609375
2017-12-22,1080.2099609375
2017-12-25,1077.1099853515625
2017-12-26,1076.3599853515625
2017-12-27,1075.0400390625
2017-12-28,1073.550048828125
2017-12-29,1069.489990234375
2018-01-01,1066.0699462890625
2018-01-02,1065.219970703125
2018-01-03,1062.5400390625
2018-01-04,1063.93994140625
2018-01-05,1061.0799560546875
2018-01-08,1060.5
2018-01-09,1067.68994140625
2018-01-10,1071.739990234375
2018-01-11,1069.6700439453125
2018-01-12,1065.1400146484375
2018-01-15,1055.800048828125
2018-01-16,1061.8199462890625
2018-01-17,1062.4599609375
2018-01-18,1066.56005859375
2018-01-19,1069.68994140625
2018-01-22,1066.3599853515625
2018-01-23,1068.81005859375
2018-01-24,1072.760009765625
2018-01-25,1064.4000244140625
2018-01-26,1064.8900146484375
2018-01-29,1063.1300048828125
2018-01-30,1069.7900390625
2018-01-31,1072.5400390625
2018-02-01,1069.02001953125
2018-02-02,1071.1800537109375
2018-02-05,1090.010009765625
2018-02-06,1093.300048828125
2018-02-07,1079.260009765625
2018-02-08,1089.4200439453125
2018-02-09,1095.8599853515625
2018-02-12,1083.1700439453125
2018-02-13,1082.6099853515625
