name,ticker,recipe,params,accuracy_recent_regime,accuracy_test,balanced_accuracy_recent_regime,balanced_accuracy_test,f1_macro_recent_regime,f1_macro_test,long_short_spread_pred_up_minus_down_recent_regime,long_short_spread_pred_up_minus_down_test,passed_prediction_balance_recent_regime,passed_prediction_balance_test,roc_auc_recent_regime,roc_auc_test
samsung_electronics,005930,technical_rates_semi_etf,depth3_conservative,0.30677290836653387,0.5284090909090909,0.5028571428571429,0.47605263157894734,0.23881065253764638,0.40941985041439255,0.04949493618531148,-0.009899356028668184,0.0,1.0,0.5273684210526315,0.4068421052631579
samsung_electronics,005930,technical_semi_etf,depth4_slow_unweighted,0.4541832669322709,0.42045454545454547,0.4373684210526316,0.4094736842105263,0.42769410002496466,0.4094736842105263,-0.003727097712727806,-0.023261920327879992,1.0,1.0,0.4364661654135338,0.40868421052631576
sk_hynix,000660,technical_all_guarded,depth4_slow,0.42248062015503873,0.4858757062146893,0.5497863247863248,0.5433333333333333,0.41608566871724767,0.43731004366812226,0.006225092638671992,0.03673705812451506,1.0,1.0,0.5005698005698005,0.5184313725490197
sk_hynix,000660,technical_alpha_rates,depth3_conservative,0.38372093023255816,0.4745762711864407,0.5474358974358975,0.5229411764705882,0.358660475587449,0.44322678843226787,0.00987383503876793,0.014651129484671507,1.0,1.0,0.5448717948717949,0.5078431372549019
sk_hynix,000660,technical_alpha_semi_etf,depth3_conservative,0.39147286821705424,0.4745762711864407,0.5202991452991453,0.4947058823529412,0.3825587244485771,0.4728937846232668,-0.006412571450412706,-0.0021579030556973834,1.0,1.0,0.5009259259259259,0.4963398692810458
sk_hynix,000660,technical_core,depth3_conservative,0.3798449612403101,0.4632768361581921,0.5047008547008547,0.4831372549019608,0.3713450292397661,0.46155816708828334,-0.014763010704679724,-0.006684716040658471,1.0,1.0,0.48418803418803424,0.49973856209150325
sk_hynix,000660,technical_daily_extended,depth3_conservative,0.40310077519379844,0.4406779661016949,0.5613247863247863,0.4758823529411765,0.38350297914597814,0.4263218202651825,0.029282288179359905,-0.006174508758575701,1.0,1.0,0.5324786324786325,0.4939869281045752
sk_hynix,000660,technical_dollar,depth4_slow,0.4108527131782946,0.423728813559322,0.49786324786324787,0.44176470588235295,0.41053391053391053,0.42223502304147464,-0.02394392110415588,-0.023840937574583804,1.0,1.0,0.4886039886039886,0.4939869281045751
sk_hynix,000660,technical_dollar_semi_etf,depth4_slow,0.4689922480620155,0.4463276836158192,0.5032051282051282,0.456078431372549,0.4621974042572615,0.44631001021450456,-0.020331384216855763,-0.01836835488279259,1.0,1.0,0.4735042735042735,0.4903267973856209
sk_hynix,000660,technical_domestic_alpha,depth3_conservative,0.38372093023255816,0.4576271186440678,0.5256410256410257,0.4835294117647059,0.3693095336930953,0.45257731958762887,-0.0012595916940074323,-0.007746816827934592,1.0,1.0,0.5032051282051282,0.490718954248366
sk_hynix,000660,technical_monthly_industry,depth3_conservative,0.44573643410852715,0.4745762711864407,0.5047008547008547,0.501764705882353,0.44432562692973865,0.4690856313497823,-0.009050309296722611,0.0036572623360795857,1.0,1.0,0.476994301994302,0.4725490196078431
sk_hynix,000660,technical_only,shallow_regularized,0.5155038759689923,0.5084745762711864,0.482051282051282,0.4888235294117647,0.4758057962062968,0.4872640095894516,-0.005809028280283901,-0.0016817221840591742,1.0,1.0,0.46645299145299146,0.5228758169934641
sk_hynix,000660,technical_rates,depth3_conservative,0.41472868217054265,0.4632768361581921,0.5623931623931624,0.49549019607843137,0.4010423873437572,0.4532240756999317,0.0277403050089298,-0.00042810634114784536,1.0,1.0,0.5395299145299145,0.4933333333333333
sk_hynix,000660,technical_rates_dollar,depth4_slow,0.40310077519379844,0.480225988700565,0.5685897435897436,0.5419607843137255,0.3798076923076923,0.42008547008547004,0.03079947483817986,0.05536703379654494,1.0,1.0,0.5045584045584045,0.5130718954248366
sk_hynix,000660,technical_rates_semi_etf,depth3_regularized,0.4263565891472868,0.4519774011299435,0.5743589743589743,0.49098039215686273,0.41363636363636364,0.43345982511136777,0.029738775806505136,-0.006109505680034081,1.0,1.0,0.5467236467236467,0.5245751633986928
sk_hynix,000660,technical_semi_etf,depth3_regularized,0.4573643410852713,0.4350282485875706,0.5057692307692307,0.44450980392156864,0.45408379179009734,0.43501021450459654,-0.022524486812599907,-0.020379833485710153,1.0,1.0,0.47635327635327634,0.5041830065359477
