name,ticker,recipe,params,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,pred_down_share,pred_up_share,min_predicted_class_share,passed_prediction_balance,roc_auc,cm_down_down,cm_down_up,cm_up_down,cm_up_up,precision_down,recall_down,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
sk_hynix,000660,technical_monthly_industry,baseline_depth3_unweighted,validation,146,0.4726027397260274,0.536144578313253,0.37776055792328556,0.34448259939600767,1.4241306234641238,0.958904109589041,0.0410958904109589,0.0410958904109589,False,0.49818320902658253,63,0,77,6,0.45,1.0,1.0,0.07228915662650602,0.014956704588768108,0.1027751591990045,0.0878184546102364
sk_hynix,000660,technical_monthly_industry,depth2_fast_unweighted,validation,146,0.4589041095890411,0.5240963855421686,0.3532940846649846,0.31749407621615183,1.452912219003592,0.9726027397260274,0.0273972602739726,0.0273972602739726,False,0.48364888123924277,63,0,79,4,0.44366197183098594,1.0,1.0,0.04819277108433735,0.016067013280948724,0.10726842793171093,0.0912014146507622
sk_hynix,000660,technical_monthly_industry,depth3_regularized_unweighted,validation,146,0.4657534246575342,0.5224708357238478,0.3947704081632653,0.36637720156555775,1.2458304717672288,0.910958904109589,0.08904109589041095,0.08904109589041095,False,0.5226620768789444,59,4,74,9,0.44360902255639095,0.9365079365079365,0.6923076923076923,0.10843373493975904,0.01611061147164212,0.043682943991781534,0.027572332520139412
sk_hynix,000660,technical_monthly_industry,depth4_slow_unweighted,validation,146,0.4794520547945205,0.5364314400458978,0.41028911564625853,0.3826239399869537,1.3241326789110661,0.910958904109589,0.08904109589041095,0.08904109589041095,False,0.5410212277682157,60,3,73,10,0.45112781954887216,0.9523809523809523,0.7692307692307693,0.12048192771084337,0.015286849992002697,0.05211065759116951,0.03682380759916681
sk_hynix,000660,technical_monthly_industry,depth3_conservative,test,177,0.4745762711864407,0.501764705882353,0.4690856313497823,0.46084967159479473,0.9531188549322248,0.6779661016949152,0.3220338983050847,0.3220338983050847,True,0.4725490196078431,51,24,69,33,0.425,0.68,0.5789473684210527,0.3235294117647059,0.010392385957673092,0.014049648293752678,0.0036572623360795857
sk_hynix,000660,technical_monthly_industry,depth3_conservative,recent_regime,258,0.44573643410852715,0.5047008547008547,0.44432562692973865,0.4553950371017711,0.854387845693817,0.6472868217054264,0.35271317829457366,0.35271317829457366,True,0.476994301994302,51,27,116,64,0.30538922155688625,0.6538461538461539,0.7032967032967034,0.35555555555555557,0.05275669986092031,0.0437063905641977,-0.009050309296722611
sk_hynix,000660,technical_domestic_alpha,baseline_depth3,validation,146,0.4657534246575342,0.5301204819277109,0.36564171122994654,0.3311204307376749,1.5920023079798729,0.9657534246575342,0.03424657534246575,0.03424657534246575,False,0.535475234270415,63,0,78,5,0.44680851063829785,1.0,1.0,0.060240963855421686,0.015598195827832936,0.10224879717942362,0.08665060135159068
sk_hynix,000660,technical_domestic_alpha,shallow_regularized,validation,146,0.4589041095890411,0.5240963855421686,0.3532940846649846,0.31749407621615183,1.2119308472213792,0.9726027397260274,0.0273972602739726,0.0273972602739726,False,0.5213233887932683,63,0,79,4,0.44366197183098594,1.0,1.0,0.04819277108433735,0.015988720023263323,0.11004783857954265,0.09405911855627933
sk_hynix,000660,technical_domestic_alpha,depth3_regularized,validation,146,0.4726027397260274,0.536144578313253,0.37776055792328556,0.34448259939600767,1.3123326523410817,0.958904109589041,0.0410958904109589,0.0410958904109589,False,0.5125262956588258,63,0,77,6,0.45,1.0,1.0,0.07228915662650602,0.015154055956761904,0.09817029394581595,0.08301623798905404
sk_hynix,000660,technical_domestic_alpha,depth4_slow,validation,146,0.4726027397260274,0.536144578313253,0.37776055792328556,0.34448259939600767,1.4073595185651844,0.958904109589041,0.0410958904109589,0.0410958904109589,False,0.5387263339070567,63,0,77,6,0.45,1.0,1.0,0.07228915662650602,0.015154055956761904,0.09817029394581595,0.08301623798905404
