name,ticker,lag_days,model,split,class_id,class_name,feature,mean_abs_shap
nvidia,NVDA,3,logistic_regression,test,2,up,nasdaq_t_minus_3,0.0322205284883997
nvidia,NVDA,3,logistic_regression,test,2,up,vix_t_minus_3,0.013166113360806942
nvidia,NVDA,5,svm,test,0,down,us_rate_t_minus_5,0.07072331227681172
nvidia,NVDA,5,svm,test,0,down,sox_t_minus_5,0.04612275363410758
nvidia,NVDA,5,svm,test,0,down,usd_krw_t_minus_5,0.012375051384704513
nvidia,NVDA,5,svm,test,0,down,vix_t_minus_5,0.012211546738755318
nvidia,NVDA,5,svm,test,0,down,nasdaq_t_minus_5,0.009790149654098577
nvidia,NVDA,5,svm,test,1,neutral,sox_t_minus_5,0.036871561302393836
nvidia,NVDA,5,svm,test,1,neutral,us_rate_t_minus_5,0.03503312437202944
nvidia,NVDA,5,svm,test,1,neutral,usd_krw_t_minus_5,0.03403762692381228
nvidia,NVDA,5,svm,test,1,neutral,vix_t_minus_5,0.009023772899349459
nvidia,NVDA,5,svm,test,1,neutral,nasdaq_t_minus_5,0.005102841046799898
nvidia,NVDA,5,svm,test,2,up,us_rate_t_minus_5,0.035690187904782275
nvidia,NVDA,5,svm,test,2,up,usd_krw_t_minus_5,0.021880841990011148
nvidia,NVDA,5,svm,test,2,up,sox_t_minus_5,0.009880955654363848
nvidia,NVDA,5,svm,test,2,up,nasdaq_t_minus_5,0.009154081377176439
nvidia,NVDA,5,svm,test,2,up,vix_t_minus_5,0.003440833023431924
nvidia,NVDA,5,decision_tree,test,0,down,sox_t_minus_5,0.2337408565035398
nvidia,NVDA,5,decision_tree,test,0,down,us_rate_t_minus_5,0.07518356643356648
nvidia,NVDA,5,decision_tree,test,0,down,usd_krw_t_minus_5,0.03145368379970058
nvidia,NVDA,5,decision_tree,test,0,down,nasdaq_t_minus_5,0.013422749507655204
nvidia,NVDA,5,decision_tree,test,0,down,vix_t_minus_5,0.011421719518155798
nvidia,NVDA,5,decision_tree,test,1,neutral,sox_t_minus_5,0.06353279051874437
nvidia,NVDA,5,decision_tree,test,1,neutral,usd_krw_t_minus_5,0.04998137280065996
nvidia,NVDA,5,decision_tree,test,1,neutral,vix_t_minus_5,0.024320336585535722
nvidia,NVDA,5,decision_tree,test,1,neutral,us_rate_t_minus_5,0.007317651484318182
nvidia,NVDA,5,decision_tree,test,1,neutral,nasdaq_t_minus_5,0.00455418969569907
nvidia,NVDA,5,decision_tree,test,2,up,sox_t_minus_5,0.1702080659847955
nvidia,NVDA,5,decision_tree,test,2,up,us_rate_t_minus_5,0.07959757834757833
nvidia,NVDA,5,decision_tree,test,2,up,vix_t_minus_5,0.035742056103691314
nvidia,NVDA,5,decision_tree,test,2,up,usd_krw_t_minus_5,0.018527689000959417
nvidia,NVDA,5,decision_tree,test,2,up,nasdaq_t_minus_5,0.008868559811956068
nvidia,NVDA,5,random_forest,test,0,down,sox_t_minus_5,0.12045190956902005
nvidia,NVDA,5,random_forest,test,0,down,usd_krw_t_minus_5,0.06322109804497587
