ticker,feature_set,feature,coefficient,abs_coefficient
005930,proposed,kospi_return_1d,0.0272469976252609,0.0272469976252609
005930,proposed,vix_change_1d,-0.0179493513210459,0.0179493513210459
005930,proposed,low,0.0121237915462357,0.0121237915462357
000660,proposed,close,-1.3336709739564785,1.3336709739564785
000660,proposed,institution_net_buy_20d_to_trading_value_20d,1.1755309637572926,1.1755309637572926
000660,proposed,open,1.1205924003130314,1.1205924003130314
000660,proposed,us_rate_lag5,-1.0557987663351498,1.0557987663351498
000660,proposed,institution_net_buy_20d_sum,-0.9044929263011716,0.9044929263011716
000660,proposed,us_rate_lag1,0.8443620469631751,0.8443620469631751
000660,proposed,usd_krw_lag5,-0.7715015330297414,0.7715015330297414
000660,proposed,nasdaq_lag1,0.6331443238219541,0.6331443238219541
000660,proposed,low,-0.6194296072571776,0.6194296072571776
000660,proposed,nasdaq_lag3,0.6024396867632478,0.6024396867632478
000660,proposed,kospi200_return_3d,-0.5583367752824844,0.5583367752824844
000660,proposed,usd_krw,0.4620098768182911,0.4620098768182911
000660,proposed,nasdaq_lag5,0.4382554356384537,0.4382554356384537
000660,proposed,kospi_return_3d,0.4274918257371449,0.4274918257371449
000660,proposed,kospi,-0.4044718161411161,0.4044718161411161
000660,proposed,us_rate,0.4006115137589729,0.4006115137589729
000660,proposed,institution_net_buy_to_trading_value,-0.3894632448834832,0.3894632448834832
000660,proposed,kospi200,-0.3820487245435723,0.3820487245435723
000660,proposed,sox,-0.3802905201047836,0.3802905201047836
000660,proposed,vix_lag1,-0.3523229324748697,0.3523229324748697
000660,proposed,institution_net_buy_to_volume,0.350037998045582,0.350037998045582
000660,proposed,sox_lag1,-0.3168013613907137,0.3168013613907137
000660,proposed,vix_change_3d,-0.301957046179773,0.301957046179773
000660,proposed,foreign_net_buy_5d_to_trading_value_5d,0.2755461635379042,0.2755461635379042
000660,proposed,vix,0.2609009091045413,0.2609009091045413
000660,proposed,sox_lag5,-0.259551762039696,0.259551762039696
000660,proposed,kospi200_lag5,0.216757355985274,0.216757355985274
000660,proposed,institution_net_buy_5d_sum,-0.1829521654842769,0.1829521654842769
000660,proposed,kospi200_lag3,0.1764677292744035,0.1764677292744035
000660,proposed,nasdaq,0.1670997962297479,0.1670997962297479
000660,proposed,usd_krw_lag1,-0.1634862141372652,0.1634862141372652
000660,proposed,volume,0.1604521015260826,0.1604521015260826
000660,proposed,kospi_lag3,0.1601556145926297,0.1601556145926297
000660,proposed,kospi_lag5,0.1590477581334331,0.1590477581334331
000660,proposed,usd_krw_lag3,0.1475845090255878,0.1475845090255878
000660,proposed,kospi_lag1,-0.143887091336246,0.143887091336246
000660,proposed,foreign_net_buy_20d_to_trading_value_20d,-0.1366717283718892,0.1366717283718892
000660,proposed,us_rate_lag3,0.1333543347468062,0.1333543347468062
000660,proposed,vix_lag5,0.1324649556028837,0.1324649556028837
000660,proposed,foreign_net_buy_to_volume,-0.1287029167268607,0.1287029167268607
000660,proposed,foreign_net_buy_5d_sum,-0.1204421496577676,0.1204421496577676
000660,proposed,foreign_net_buy_20d_sum,0.1146959995990811,0.1146959995990811
000660,proposed,nasdaq_return_1d,-0.1085270780831883,0.1085270780831883
000660,proposed,high,0.1047053049488719,0.1047053049488719
000660,proposed,usd_krw_return_3d,0.0900252528879921,0.0900252528879921
000660,proposed,kospi200_return_1d,-0.0830821906365074,0.0830821906365074
000660,proposed,usd_krw_return_1d,-0.0736008930788931,0.0736008930788931
000660,proposed,institution_net_buy,0.0690572468846427,0.0690572468846427
000660,proposed,vix_lag3,0.068760943918787,0.068760943918787
000660,proposed,nasdaq_return_3d,-0.065079434874395,0.065079434874395
000660,proposed,kospi_return_1d,0.0649480792446269,0.0649480792446269
000660,proposed,stock_vs_kospi200_return_1d,0.0632293555315712,0.0632293555315712
000660,proposed,trading_value,0.0612541713966494,0.0612541713966494
000660,proposed,sox_return_1d,0.0584699526943092,0.0584699526943092
000660,proposed,foreign_net_buy,0.0577603309737565,0.0577603309737565
000660,proposed,kospi200_lag1,-0.05652747818761,0.05652747818761
000660,proposed,vix_change_1d,-0.0532415590040776,0.0532415590040776
000660,proposed,stock_vs_kospi_return_1d,-0.0376584202388415,0.0376584202388415
000660,proposed,sox_return_3d,-0.0229875260771484,0.0229875260771484
000660,proposed,sox_lag3,-0.0224395574294638,0.0224395574294638
000660,proposed,foreign_net_buy_to_trading_value,0.0208363745192883,0.0208363745192883
000660,proposed,institution_net_buy_5d_to_trading_value_5d,0.0143107856083585,0.0143107856083585
000660,proposed,return_pct,0.0035733276555778,0.0035733276555778
000660,macro_alpha,institution_net_buy_20d_to_trading_value_20d,1.2388131344041835,1.2388131344041835
000660,macro_alpha,us_rate_lag5,-1.0994355567141378,1.0994355567141378
000660,macro_alpha,kospi200,-1.0741626952173065,1.0741626952173065
000660,macro_alpha,us_rate_lag1,1.0054258298667156,1.0054258298667156
000660,macro_alpha,institution_net_buy_20d_sum,-0.9506687484982236,0.9506687484982236
000660,macro_alpha,nasdaq_lag3,0.7953553958899693,0.7953553958899693
000660,macro_alpha,usd_krw_lag5,-0.7558442944274334,0.7558442944274334
000660,macro_alpha,nasdaq_lag1,0.7497776497710408,0.7497776497710408
000660,macro_alpha,kospi_lag5,0.7288670942119533,0.7288670942119533
000660,macro_alpha,kospi200_lag1,-0.6767707144775528,0.6767707144775528
000660,macro_alpha,kospi_lag3,0.650651486799654,0.650651486799654
000660,macro_alpha,kospi200_return_3d,-0.6165658862407771,0.6165658862407771
000660,macro_alpha,sox,-0.5808608109102552,0.5808608109102552
000660,macro_alpha,nasdaq_lag5,0.5759251479943643,0.5759251479943643
000660,macro_alpha,sox_lag1,-0.5385624904878692,0.5385624904878692
000660,macro_alpha,sox_lag5,-0.5004110700169372,0.5004110700169372
000660,macro_alpha,kospi200_lag3,-0.5001903248521774,0.5001903248521774
000660,macro_alpha,usd_krw,0.4737385703390513,0.4737385703390513
000660,macro_alpha,us_rate,0.4719950744783007,0.4719950744783007
000660,macro_alpha,kospi_return_3d,0.4518645098565269,0.4518645098565269
000660,macro_alpha,kospi_lag1,0.4428110413982101,0.4428110413982101
000660,macro_alpha,kospi200_lag5,-0.4032476701724768,0.4032476701724768
