ticker,feature_set,feature,pearson_corr_train,abs_pearson_corr_train
000660,proposed,vix_change_3d,-0.02499021688049,0.02499021688049
000660,proposed,foreign_net_buy_20d_to_trading_value_20d,-0.0242861744908608,0.0242861744908608
000660,proposed,kospi_lag3,-0.0238670780729405,0.0238670780729405
000660,proposed,kospi200_lag5,-0.0236182229886041,0.0236182229886041
000660,proposed,foreign_net_buy_5d_to_trading_value_5d,0.0229395643778918,0.0229395643778918
000660,proposed,kospi_lag5,-0.0207603369230646,0.0207603369230646
000660,proposed,nasdaq,-0.0203824399177493,0.0203824399177493
000660,proposed,sox_return_1d,-0.0200178112924813,0.0200178112924813
000660,proposed,us_rate_lag5,-0.0185277933628796,0.0185277933628796
000660,proposed,nasdaq_lag1,-0.0179875364359446,0.0179875364359446
000660,proposed,nasdaq_lag3,-0.0163526520433752,0.0163526520433752
000660,proposed,vix_lag3,0.0162218880420833,0.0162218880420833
000660,proposed,nasdaq_lag5,-0.0147059400571059,0.0147059400571059
000660,proposed,us_rate,-0.0134461192325992,0.0134461192325992
000660,proposed,us_rate_lag3,-0.0108523315686957,0.0108523315686957
000660,proposed,us_rate_lag1,-0.0107578345421276,0.0107578345421276
000660,proposed,vix,0.0101450853407715,0.0101450853407715
000660,proposed,usd_krw_return_1d,0.0100072555900986,0.0100072555900986
000660,proposed,foreign_net_buy,-0.0096214125364396,0.0096214125364396
000660,proposed,vix_lag1,0.0093380628475369,0.0093380628475369
000660,proposed,stock_vs_kospi_return_1d,-0.0093117636859719,0.0093117636859719
000660,proposed,vix_lag5,0.0085703980520268,0.0085703980520268
000660,proposed,vix_change_1d,-0.0084708327833102,0.0084708327833102
000660,proposed,foreign_net_buy_5d_sum,-0.0070973112673344,0.0070973112673344
000660,proposed,stock_vs_kospi200_return_1d,-0.0070803555385817,0.0070803555385817
000660,proposed,institution_net_buy_to_volume,0.0053410798403302,0.0053410798403302
000660,proposed,foreign_net_buy_to_volume,-0.0051166078681204,0.0051166078681204
000660,proposed,institution_net_buy_to_trading_value,0.0023141438187514,0.0023141438187514
000660,proposed,institution_net_buy,-0.0016509788903104,0.0016509788903104
000660,proposed,foreign_net_buy_to_trading_value,-0.0008507645191167,0.0008507645191167
000660,macro_alpha,institution_net_buy_20d_to_trading_value_20d,0.1183874903047159,0.1183874903047159
000660,macro_alpha,institution_net_buy_20d_sum,0.0888526492080802,0.0888526492080802
000660,macro_alpha,kospi200_return_3d,-0.073268246772771,0.073268246772771
000660,macro_alpha,kospi_return_3d,-0.0691068174189637,0.0691068174189637
000660,macro_alpha,volume,0.0671723044729713,0.0671723044729713
000660,macro_alpha,kospi200_return_1d,-0.0648147032263133,0.0648147032263133
000660,macro_alpha,kospi_return_1d,-0.0634404753309073,0.0634404753309073
000660,macro_alpha,usd_krw_lag5,-0.0612053529111501,0.0612053529111501
000660,macro_alpha,usd_krw_return_3d,0.0611830947362407,0.0611830947362407
000660,macro_alpha,usd_krw_lag3,-0.0548193380464153,0.0548193380464153
000660,macro_alpha,usd_krw_lag1,-0.0474688688986411,0.0474688688986411
000660,macro_alpha,usd_krw,-0.0459030634208179,0.0459030634208179
000660,macro_alpha,institution_net_buy_5d_to_trading_value_5d,0.0458989620051613,0.0458989620051613
000660,macro_alpha,return_pct,-0.0401043196881775,0.0401043196881775
000660,macro_alpha,sox_return_3d,-0.0359435595581191,0.0359435595581191
000660,macro_alpha,kospi200,-0.0359259595728555,0.0359259595728555
000660,macro_alpha,nasdaq_return_3d,-0.0349024070991325,0.0349024070991325
000660,macro_alpha,foreign_net_buy_20d_sum,-0.0348831730316127,0.0348831730316127
000660,macro_alpha,kospi,-0.0330058210187558,0.0330058210187558
000660,macro_alpha,sox,-0.0325928001828982,0.0325928001828982
000660,macro_alpha,sox_lag1,-0.0311990401409473,0.0311990401409473
000660,macro_alpha,kospi200_lag1,-0.0305632751628244,0.0305632751628244
000660,macro_alpha,sox_lag3,-0.0294204798203011,0.0294204798203011
000660,macro_alpha,nasdaq_return_1d,-0.0285828478787844,0.0285828478787844
000660,macro_alpha,kospi_lag1,-0.0278021560068448,0.0278021560068448
000660,macro_alpha,sox_lag5,-0.0274578746511462,0.0274578746511462
000660,macro_alpha,institution_net_buy_5d_sum,0.0270570066738997,0.0270570066738997
000660,macro_alpha,kospi200_lag3,-0.0265782304844606,0.0265782304844606
000660,macro_alpha,vix_change_3d,-0.02499021688049,0.02499021688049
000660,macro_alpha,foreign_net_buy_20d_to_trading_value_20d,-0.0242861744908608,0.0242861744908608
000660,macro_alpha,kospi_lag3,-0.0238670780729405,0.0238670780729405
000660,macro_alpha,kospi200_lag5,-0.0236182229886041,0.0236182229886041
000660,macro_alpha,foreign_net_buy_5d_to_trading_value_5d,0.0229395643778918,0.0229395643778918
000660,macro_alpha,kospi_lag5,-0.0207603369230646,0.0207603369230646
000660,macro_alpha,nasdaq,-0.0203824399177493,0.0203824399177493
000660,macro_alpha,sox_return_1d,-0.0200178112924813,0.0200178112924813
000660,macro_alpha,us_rate_lag5,-0.0185277933628796,0.0185277933628796
000660,macro_alpha,nasdaq_lag1,-0.0179875364359446,0.0179875364359446
000660,macro_alpha,nasdaq_lag3,-0.0163526520433752,0.0163526520433752
000660,macro_alpha,vix_lag3,0.0162218880420833,0.0162218880420833
000660,macro_alpha,nasdaq_lag5,-0.0147059400571059,0.0147059400571059
000660,macro_alpha,us_rate,-0.0134461192325992,0.0134461192325992
000660,macro_alpha,us_rate_lag3,-0.0108523315686957,0.0108523315686957
000660,macro_alpha,us_rate_lag1,-0.0107578345421276,0.0107578345421276
000660,macro_alpha,vix,0.0101450853407715,0.0101450853407715
000660,macro_alpha,usd_krw_return_1d,0.0100072555900986,0.0100072555900986
000660,macro_alpha,foreign_net_buy,-0.0096214125364396,0.0096214125364396
000660,macro_alpha,vix_lag1,0.0093380628475369,0.0093380628475369
000660,macro_alpha,stock_vs_kospi_return_1d,-0.0093117636859719,0.0093117636859719
000660,macro_alpha,vix_lag5,0.0085703980520268,0.0085703980520268
000660,macro_alpha,vix_change_1d,-0.0084708327833102,0.0084708327833102
000660,macro_alpha,foreign_net_buy_5d_sum,-0.0070973112673344,0.0070973112673344
000660,macro_alpha,stock_vs_kospi200_return_1d,-0.0070803555385817,0.0070803555385817
000660,macro_alpha,institution_net_buy_to_volume,0.0053410798403302,0.0053410798403302
000660,macro_alpha,foreign_net_buy_to_volume,-0.0051166078681204,0.0051166078681204
000660,macro_alpha,institution_net_buy_to_trading_value,0.0023141438187514,0.0023141438187514
000660,macro_alpha,institution_net_buy,-0.0016509788903104,0.0016509788903104
000660,macro_alpha,foreign_net_buy_to_trading_value,-0.0008507645191167,0.0008507645191167
005930,macro_alpha,institution_net_buy_20d_sum,0.1512674306430703,0.1512674306430703
005930,macro_alpha,kospi,-0.10984413576922701,0.10984413576922701
005930,macro_alpha,kospi200,-0.10875133434941357,0.10875133434941357
005930,macro_alpha,kospi_lag5,-0.10757853902966691,0.10757853902966691
005930,macro_alpha,kospi_lag1,-0.10755342970069125,0.10755342970069125
005930,macro_alpha,kospi200_lag1,-0.10606599661887038,0.10606599661887038
005930,macro_alpha,kospi_lag3,-0.10529532132368276,0.10529532132368276
005930,macro_alpha,kospi200_lag5,-0.10528045315431042,0.10528045315431042
005930,macro_alpha,kospi200_lag3,-0.102919965387065,0.102919965387065
005930,macro_alpha,institution_net_buy_5d_sum,0.0898188512405678,0.0898188512405678
005930,macro_alpha,sox_lag5,-0.06655652846040025,0.06655652846040025
005930,macro_alpha,sox,-0.06631524872186491,0.06631524872186491
005930,macro_alpha,sox_lag1,-0.06482133720067802,0.06482133720067802
