name,ticker,recipe,feature_family,params,split,rows,accuracy,balanced_accuracy,f1_macro,f1_weighted,log_loss,roc_auc_ovr_weighted,cm_down_down,cm_down_neutral,cm_down_up,cm_neutral_down,cm_neutral_neutral,cm_neutral_up,cm_up_down,cm_up_neutral,cm_up_up,precision_down,recall_down,precision_neutral,recall_neutral,precision_up,recall_up,mean_future_5d_return_pred_down,mean_future_5d_return_pred_neutral,mean_future_5d_return_pred_up,long_short_spread_pred_up_minus_down
nvidia,NVDA,technical_core,technical,depth3_regularized_unweighted,validation,259,0.3088803088803089,0.3264259549973836,0.28999529220523695,0.2872174032395027,1.2484980574227074,0.5090196674047606,38,24,8,58,32,8,54,27,10,0.25333333333333335,0.5428571428571428,0.3855421686746988,0.32653061224489793,0.38461538461538464,0.10989010989010989,0.02384185393698116,0.023342466054491084,0.017106832311550055,-0.0067350216254311035
nvidia,NVDA,technical_core,technical,depth4_slow_unweighted,validation,259,0.29343629343629346,0.3196232339089482,0.2716109008107442,0.26424760486893367,1.281922163317926,0.5139972492456965,43,18,9,65,23,10,57,24,10,0.2606060606060606,0.6142857142857143,0.35384615384615387,0.23469387755102042,0.3448275862068966,0.10989010989010989,0.023957768365125507,0.023056699585577607,0.017474591719378717,-0.00648317664574679
nvidia,NVDA,technical_core,technical,depth2_fast_unweighted,test,260,0.28846153846153844,0.32143682143682145,0.1781607340712772,0.15910145942094822,1.4598489712546727,0.4513568649147205,71,7,0,70,4,0,94,14,0,0.3021276595744681,0.9102564102564102,0.16,0.05405405405405406,0.0,0.0,0.020095332638040454,0.05178997800261777,,
nvidia,NVDA,technical_core,technical,depth2_fast_unweighted,recent_regime,341,0.2756598240469208,0.3260550023707918,0.1561055526300392,0.13622593977279807,1.3778670424456065,0.449144188808332,91,4,0,145,3,0,91,7,0,0.2782874617737003,0.9578947368421052,0.21428571428571427,0.02027027027027027,0.0,0.0,0.007755815928837891,0.0273643887446555,,
nvidia,NVDA,technical_rates,technical+rates,baseline_depth3,validation,259,0.25868725868725867,0.2691261119832548,0.2514190416629441,0.24896255140157575,1.4576995361870309,0.4420761711134382,28,37,5,62,27,9,36,43,12,0.2222222222222222,0.4,0.2523364485981308,0.2755102040816326,0.46153846153846156,0.13186813186813187,0.023390055068715342,0.01967508944904723,0.03484995782554036,0.011459902756825017
nvidia,NVDA,technical_rates,technical+rates,shallow_regularized,validation,259,0.25868725868725867,0.2719518576661434,0.2542273611206835,0.2518519768455915,1.3720856245950457,0.43720750475408865,27,17,26,64,12,22,50,13,28,0.19148936170212766,0.38571428571428573,0.2857142857142857,0.12244897959183673,0.3684210526315789,0.3076923076923077,0.03232871615678352,0.01026431834357626,0.012750395587283641,-0.019578320569499874
nvidia,NVDA,technical_rates,technical+rates,depth3_regularized,validation,259,0.29343629343629346,0.32386185243328103,0.27638370687906294,0.2668081990063414,1.4814679661630448,0.43546718857277866,44,15,11,75,11,12,58,12,21,0.24858757062146894,0.6285714285714286,0.2894736842105263,0.11224489795918367,0.4772727272727273,0.23076923076923078,0.02370497975383945,0.0179858877751891,0.0245280741200788,0.0008230943662393513
nvidia,NVDA,technical_rates,technical+rates,depth4_slow,validation,259,0.2702702702702703,0.2942438513867085,0.26061458228245393,0.25262333574789436,1.445226686565912,0.4412414854961439,38,22,10,70,15,13,49,25,17,0.24203821656050956,0.5428571428571428,0.24193548387096775,0.15306122448979592,0.425,0.18681318681318682,0.02309063075362009,0.024685163142150506,0.020069281750963758,-0.003021349002656333
nvidia,NVDA,technical_rates,technical+rates,depth2_fast,validation,259,0.2471042471042471,0.2457875457875458,0.24768464698132217,0.25282879950399134,1.4760703877953907,0.4300086466235534,17,39,14,56,28,14,33,39,19,0.16037735849056603,0.24285714285714285,0.2641509433962264,0.2857142857142857,0.40425531914893614,0.2087912087912088,0.031100832416441907,0.015912375860886136,0.020746390122839648,-0.010354442293602259
nvidia,NVDA,technical_rates,technical+rates,depth3_conservative,validation,259,0.277992277992278,0.3223443223443223,0.22605678980682087,0.20974274719090097,1.4246271573997964,0.43936471964422275,55,6,9,82,7,9,74,7,10,0.26066350710900477,0.7857142857142857,0.35,0.07142857142857142,0.35714285714285715,0.10989010989010989,0.026308401374463174,0.017976334120096724,0.001710037169877561,-0.024598364204585613
nvidia,NVDA,technical_rates,technical+rates,baseline_depth3_unweighted,validation,259,0.2277992277992278,0.23019361590790163,0.22589618742996054,0.2285878752403654,1.459207980741412,0.43328210641875237,19,40,11,59,26,13,39,38,14,0.1623931623931624,0.2714285714285714,0.25,0.2653061224489796,0.3684210526315789,0.15384615384615385,0.034106853546724374,0.01280093599782083,0.016754768537634683,-0.01735208500908969
nvidia,NVDA,technical_rates,technical+rates,depth2_fast_unweighted,validation,259,0.23938223938223938,0.23626373626373628,0.2386402940774286,0.24457849633805423,1.5313161596845997,0.4274069988355703,15,40,15,53,28,17,32,40,19,0.15,0.21428571428571427,0.25925925925925924,0.2857142857142857,0.37254901960784315,0.2087912087912088,0.03159439318125104,0.017409504845878537,0.01801597199392647,-0.01357842118732457
